product_key,item_code,item_description,item_type
384,12611,ACE CIDER PERRY - 4/6 12.OZ,BEER
385,12629,VIRGINIA GENTLEMAN - 1.75L,LIQUOR
386,12631,ACE PINEAPPLE CIDER - 1/6K,KEGS
387,12632,ACE APPLE HARD CIDER - 12OZ,BEER
388,12644,RARE PINOT NOIR - 750ML,WINE
389,12649,STILLWATER STATESIDE - 16OZ CAN,BEER
390,12651,OMMEGANG PALE SOUR - 12OZ,BEER
391,12656,CHAMPION MISSILE IPA - 12OZ CAN,BEER
392,126578,CHRISTIAN BROTHERS BRANDY - 375ML,LIQUOR
393,126764,MANISCHEWITZ BLACKBERRY - 3L,WINE
394,12686,FOUNDERS CENTENNIAL IPA 1/15 CN,BEER
395,126977,LURTON ARAUCANO RES S/BLC - 750ML,WINE
396,126985,H BEAULIEU PICPOUL DE PINET BL - 1.5L,WINE
397,12709,TWO ROADS PERSIAN LIME GOSE 6/4 16OZ CN,BEER
398,12711,TWO ROADS TWO JUICY 6/4 16OZ CN,BEER
399,12724,FOUNDERS ALL DAY 24/19.2OZ CN,BEER
400,12730,ACE PINEAPPLE 1/2 KEG,KEGS
401,12740,SVEDKA BLUE RASP VODKA 1.75,LIQUOR
402,127680,SUSANA BALBO CRIOS ROSE MAL - 750ML,WINE
403,12769,EVAN WILLIAMS BLACK SOUR MASH 7YR - 1.75L,LIQUOR
404,127833,L'ECOLE NO 41 COL VLY MER - 750ML,WINE
405,12785,EVAN  WILLIAMS BLACK SOUR MASH 7YR - 1L,LIQUOR
406,1279,EMPTY WINE KEG - KEGS,DUNNAGE
407,127922,FAMEGA VINHO VERDE - 750ML,WINE
408,12815,PAPPY VAN WINKLE 12 YR - 750ML,LIQUOR
409,12827,CASAMIGOS TEQUILA BLANCO - 1L,LIQUOR
